"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","FTP","77","Request: USER exit"
"3","1.000403","127.0.0.1","127.0.0.1","FTP","90","Response: 530 Permission denied."
"5","5.079734","127.0.0.1","127.0.0.1","FTP","72","Request: QUIT"
"7","5.079785","127.0.0.1","127.0.0.1","FTP","80","Response: 221 Goodbye."
"15","11.641784","127.0.0.1","127.0.0.1","FTP","86","Response: 220 (vsFTPd 3.0.5)"
"17","16.575314","127.0.0.1","127.0.0.1","FTP","79","Request: USER dragon"
"19","16.575376","127.0.0.1","127.0.0.1","FTP","100","Response: 331 Please specify the password."
"21","20.887426","127.0.0.1","127.0.0.1","FTP","81","Request: PASS 08183080"
"22","20.911245","127.0.0.1","127.0.0.1","FTP","89","Response: 230 Login successful."
"24","20.911307","127.0.0.1","127.0.0.1","FTP","72","Request: SYST"
"25","20.911340","127.0.0.1","127.0.0.1","FTP","85","Response: 215 UNIX Type: L8"
"26","20.911376","127.0.0.1","127.0.0.1","FTP","72","Request: FEAT"
"27","20.911409","127.0.0.1","127.0.0.1","FTP","81","Response: 211-Features:"
"28","20.911419","127.0.0.1","127.0.0.1","FTP","73","Response:  EPRT"
"29","20.911421","127.0.0.1","127.0.0.1","FTP","73","Response:  EPSV"
"30","20.911423","127.0.0.1","127.0.0.1","FTP","73","Response:  MDTM"
"32","20.911467","127.0.0.1","127.0.0.1","FTP","73","Response:  PASV"
"33","20.911480","127.0.0.1","127.0.0.1","FTP","80","Response:  REST STREAM"
"34","20.911482","127.0.0.1","127.0.0.1","FTP","73","Response:  SIZE"
"36","20.911485","127.0.0.1","127.0.0.1","FTP","73","Response:  TVFS"
"37","20.911488","127.0.0.1","127.0.0.1","FTP","75","Response: 211 End"
"39","23.615314","127.0.0.1","127.0.0.1","FTP","72","Request: EPSV"
"40","23.615507","127.0.0.1","127.0.0.1","FTP","114","Response: 229 Entering Extended Passive Mode (|||50000|)"
"41","23.615633","127.0.0.1","127.0.0.1","FTP","72","Request: LIST"
"42","23.615899","127.0.0.1","127.0.0.1","FTP","105","Response: 150 Here comes the directory listing."
"43","23.616120","127.0.0.1","127.0.0.1","FTP","90","Response: 226 Directory send OK."
"45","35.015468","127.0.0.1","127.0.0.1","FTP","77","Request: MKD happy"
"46","35.015842","127.0.0.1","127.0.0.1","FTP","100","Response: 257 ""/home/dragon/happy"" created"
"48","61.215467","127.0.0.1","127.0.0.1","FTP","72","Request: QUIT"
"49","61.215520","127.0.0.1","127.0.0.1","FTP","80","Response: 221 Goodbye."
"57","67.441409","127.0.0.1","127.0.0.1","FTP","86","Response: 220 (vsFTPd 3.0.5)"
"59","71.055495","127.0.0.1","127.0.0.1","FTP","79","Request: USER dragon"
"61","71.055567","127.0.0.1","127.0.0.1","FTP","100","Response: 331 Please specify the password."
"63","75.278753","127.0.0.1","127.0.0.1","FTP","81","Request: PASS 08183080"
"64","75.301372","127.0.0.1","127.0.0.1","FTP","89","Response: 230 Login successful."
"66","75.301471","127.0.0.1","127.0.0.1","FTP","72","Request: SYST"
"67","75.301515","127.0.0.1","127.0.0.1","FTP","85","Response: 215 UNIX Type: L8"
"68","75.301642","127.0.0.1","127.0.0.1","FTP","72","Request: FEAT"
