"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.17.192.1","224.0.0.251","MDNS","75","Standard query 0x0000 ANY \350\260\242\345\216\232\351\276\231.local, ""QM"" question"
"2","0.000373","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","95","Standard query 0x0000 ANY \350\260\242\345\216\232\351\276\231.local, ""QM"" question"
"3","0.001018","172.17.192.1","224.0.0.251","MDNS","75","Standard query 0x0000 ANY \350\260\242\345\216\232\351\276\231.local, ""QM"" question"
"4","0.001317","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","95","Standard query 0x0000 ANY \350\260\242\345\216\232\351\276\231.local, ""QM"" question"
"5","0.001560","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","133","Standard query response 0x0000 AAAA fe80::a443:3f1:1d32:5717 A 172.17.192.1"
"6","0.001930","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","133","Standard query response 0x0000 AAAA fe80::a443:3f1:1d32:5717 A 172.17.192.1"
"7","0.002197","172.17.192.1","224.0.0.251","MDNS","113","Standard query response 0x0000 AAAA fe80::a443:3f1:1d32:5717 A 172.17.192.1"
"8","0.002500","172.17.192.1","224.0.0.251","MDNS","113","Standard query response 0x0000 AAAA fe80::a443:3f1:1d32:5717 A 172.17.192.1"
"9","0.080971","Microsof_34:fe:b7","Broadcast","ARP","42","Who has 172.17.192.1? Tell 172.17.194.238"
"10","0.081124","Microsof_b2:15:1e","Microsof_34:fe:b7","ARP","42","172.17.192.1 is at 00:15:5d:b2:15:1e"
"11","0.081131","172.17.194.238","172.17.192.1","DNS","84","Standard query 0xd3d8 PTR 251.0.0.224.in-addr.arpa"
"12","0.083014","172.17.192.1","224.0.0.251","MDNS","90","Standard query 0x0000 PTR 251.0.0.224.in-addr.arpa.local, ""QM"" question"
"13","0.083427","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","110","Standard query 0x0000 PTR 251.0.0.224.in-addr.arpa.local, ""QM"" question"
"14","0.096717","172.17.192.1","172.17.194.238","DNS","136","Standard query response 0xd3d8 PTR 251.0.0.224.in-addr.arpa PTR mdns.mcast.net"
"15","0.096812","172.17.194.238","172.17.192.1","DNS","85","Standard query 0x17f2 PTR 1.192.17.172.in-addr.arpa"
"16","0.106819","172.17.192.1","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 1.192.17.172.in-addr.arpa.local, ""QM"" question"
"17","0.107355","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","111","Standard query 0x0000 PTR 1.192.17.172.in-addr.arpa.local, ""QM"" question"
"18","1.114080","172.17.192.1","224.0.0.251","MDNS","91","Standard query 0x0000 PTR 1.192.17.172.in-addr.arpa.local, ""QM"" question"
"19","1.114547","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","111","Standard query 0x0000 PTR 1.192.17.172.in-addr.arpa.local, ""QM"" question"
"20","1.114703","172.17.192.1","172.17.194.238","DNS","133","Standard query response 0x17f2 PTR 1.192.17.172.in-addr.arpa PTR \350\260\242\345\216\232\351\276\231"
